Favorite,Spread,Underdog,Pred_Total,Away Money Line,Home Money Line,Week,Year
at Chiefs,-9.5,Texans,53.5,323,-422,1,2020
at Falcons,-1,Seahawks,49,-105,-117,1,2020
at Bills,-6.5,Jets,39.5,235,-294,1,2020
at Lions,-2.5,Bears,42.5,116,-141,1,2020
at Vikings,-2.5,Packers,44.5,112,-136,1,2020
at Patriots,-7.5,Dolphins,41.5,282,-367,1,2020
Eagles,-5.5,at Football Team,42,-252,207,1,2020
Raiders,-3,at Panthers,48,-159,130,1,2020
Colts,-7.5,at Jaguars,44.5,-370,286,1,2020
at Ravens,-7.5,Browns,47.5,276,-356,1,2020
Chargers,-2.5,at Bengals,41,-143,118,1,2020
at Saints,-4.5,Buccaneers,48,155,-189,1,2020
at 49ers,-6.5,Cardinals,48,245,-312,1,2020
at Rams,-1,Cowboys,52,-109,-112,1,2020
Steelers,-6,at Giants,44,-262,210,1,2020
Titans,-3.5,at Broncos,41.5,-182,149,1,2020